id,recipe_name,pipeline_version,workflow_name,batch_id,preset_id,preset_name,start_time,end_time,main_file_id,data_pipeline_id,job_id,reference,observation_date,observation_night,observation_id,status,previous_status,is_standard,need_validation,validation_status,previous_validation_status,uuid,output_status,prog_id,parent_process_id,top_parent_process_id,launcher,launcher_label,performance,estimated_duration,ratio_perf,current_time,progress,user_email,user_display
524323,zpl_science_p1,production,,,,,2023-11-21 12:23:00.0,2023-11-21 12:25:02.0,3077987,12,78767788,HD75885 10c_01_09-10_not_norm,2018-04-09 01:09:09.0,2018-04-08,1944746,waiting_validation,,false,true,to_validate,,,full,0101.D-0752(A),,,sphere-dc,sphere-dc-grid,0.29508196721311475,129757,1.0618223406570961,2023-11-21T12:25:23,,kateryna.andrych@hdr.mq.edu.au,
524322,zpl_science_p1,production,,,,,2023-11-21 12:21:08.0,2023-11-21 12:23:12.0,3077974,12,78767787,HD75885 9c_01_07-08_not_norm,2018-04-09 01:07:14.0,2018-04-08,1944746,waiting_validation,,false,true,to_validate,,,full,0101.D-0752(A),,,sphere-dc,sphere-dc-grid,0.2903225806451613,129825,1.0464284460118551,2023-11-21T12:25:23,,kateryna.andrych@hdr.mq.edu.au,
524321,zpl_science_p1,production,,,,,2023-11-21 12:19:39.0,2023-11-21 12:21:47.0,3077977,12,78767786,HD75885 8c_01_05-06_not_norm,2018-04-09 01:05:14.0,2018-04-08,1944746,waiting_validation,,false,true,to_validate,,,full,0101.D-0752(A),,,sphere-dc,sphere-dc-grid,0.28125,130252,1.0142630706967162,2023-11-21T12:25:23,,kateryna.andrych@hdr.mq.edu.au,
524320,zpl_science_p1,production,,,,,2023-11-21 12:18:08.0,2023-11-21 12:20:08.0,3078001,12,78767785,HD75885 7c_01_03-04_not_norm,2018-04-09 01:03:19.0,2018-04-08,1944746,waiting_validation,,false,true,to_validate,,,full,0101.D-0752(A),,,sphere-dc,sphere-dc-grid,0.3,130668,1.0854356540272951,2023-11-21T12:25:23,,kateryna.andrych@hdr.mq.edu.au,
524319,zpl_science_p1,production,,,,,2023-11-21 12:16:51.0,2023-11-21 12:18:52.0,3077962,12,78767784,HD75885 6c_01_01-02_not_norm,2018-04-09 01:01:21.0,2018-04-08,1944746,waiting_validation,,false,true,to_validate,,,full,0101.D-0752(A),,,sphere-dc,sphere-dc-grid,0.2975206611570248,131175,1.0799057411333555,2023-11-21T12:25:23,,kateryna.andrych@hdr.mq.edu.au,
524318,zpl_science_p1,production,,,,,2023-11-21 12:15:34.0,2023-11-21 12:17:34.0,3078011,12,78767783,HD75885 5c_00_59-00_not_norm,2018-04-09 00:59:28.0,2018-04-08,1944746,waiting_validation,,false,true,to_validate,,,full,0101.D-0752(A),,,sphere-dc,sphere-dc-grid,0.3,132234,1.0931303777185768,2023-11-21T12:25:23,,kateryna.andrych@hdr.mq.edu.au,
524317,zpl_science_p1,production,,,,,2023-11-21 12:14:35.0,2023-11-21 12:16:36.0,3077960,12,78767782,HD75885 4c_00_57-58_not_norm,2018-04-09 00:57:30.0,2018-04-08,1944746,waiting_validation,,false,true,to_validate,,,full,0101.D-0752(A),,,sphere-dc,sphere-dc-grid,0.2975206611570248,132234,1.0882561630037009,2023-11-21T12:25:23,,kateryna.andrych@hdr.mq.edu.au,
524316,zpl_science_p1,production,,,,,2023-11-21 12:13:30.0,2023-11-21 12:15:31.0,3077969,12,78767781,HD75885 3c_00_55-56_not_norm,2018-04-09 00:55:34.0,2018-04-08,1944746,waiting_validation,,false,true,to_validate,,,full,0101.D-0752(A),,,sphere-dc,sphere-dc-grid,0.2975206611570248,133053,1.0928490517680476,2023-11-21T12:25:23,,kateryna.andrych@hdr.mq.edu.au,
524315,zpl_science_p1,production,,,,,2023-11-21 12:12:15.0,2023-11-21 12:14:17.0,3078024,12,78767780,HD75885 2c_00_53-55(1)_not_norm,2018-04-09 00:53:36.0,2018-04-08,1944746,waiting_validation,,false,true,to_validate,,,full,0101.D-0752(A),,,sphere-dc,sphere-dc-grid,0.29508196721311475,133053,1.0884568742758594,2023-11-21T12:25:23,,kateryna.andrych@hdr.mq.edu.au,
524314,zpl_science_p1,production,,,,,2023-11-21 12:11:18.0,2023-11-21 12:13:26.0,3078036,12,78767779,HD75885 1c_00_51-53(1)_not_norm,2018-04-09 00:51:45.0,2018-04-08,1944746,waiting_validation,,false,true,to_validate,,,full,0101.D-0752(A),,,sphere-dc,sphere-dc-grid,0.28125,133053,1.0394835394883892,2023-11-21T12:25:23,,kateryna.andrych@hdr.mq.edu.au,
